iter	Logloss
0	0.6394094989
1	0.5908489237
2	0.5570337328
3	0.5275335058
4	0.5029832447
5	0.485200349
6	0.4695096439
7	0.456438544
8	0.4441135213
9	0.4331109959
10	0.4234375591
11	0.4165672173
12	0.4101881715
13	0.4034756344
14	0.3957114601
15	0.3902589664
16	0.3853581241
17	0.3809124593
18	0.3768342764
19	0.3734060809
20	0.3701520647
21	0.3661722179
22	0.3630062814
23	0.3599809771
24	0.3570016635
25	0.3540768233
26	0.3515896037
27	0.3492769477
28	0.3457390663
29	0.3425832384
30	0.3402085126
31	0.3369609399
32	0.3336371396
33	0.3311813983
34	0.329689569
35	0.3281227537
36	0.3258528961
37	0.3247767857
38	0.3234097756
39	0.322347084
40	0.3209808719
41	0.3195392008
42	0.3181603974
43	0.3163620919
44	0.3149788845
45	0.3138174727
46	0.3123489639
47	0.3110626147
48	0.3094732474
49	0.3079520089
50	0.306985614
51	0.3052284518
52	0.3039929702
53	0.3029582395
54	0.3018059313
55	0.300579435
56	0.2995649804
57	0.2981002845
58	0.2967047814
59	0.29558537
60	0.2945441368
61	0.2935400272
62	0.2915954146
63	0.2909166387
64	0.2895895009
65	0.2885683074
66	0.2875031922
67	0.2863076125
68	0.2853783411
69	0.2838375655
70	0.2829205012
71	0.2817320152
72	0.280817345
73	0.2792654264
74	0.2782879181
75	0.2772034726
76	0.2765072285
77	0.2748711316
78	0.2741442073
79	0.2729134253
80	0.2724000501
81	0.2713826399
82	0.2701466262
83	0.2687920005
84	0.2678121571
85	0.2668637033
86	0.2653646622
87	0.264388809
88	0.263672141
89	0.2625819911
90	0.2611400835
91	0.2600342388
92	0.2585979471
93	0.2579503833
94	0.2571575765
95	0.2563272915
96	0.2553319012
97	0.2544417042
98	0.2538137367
99	0.2528987413
