iter	Passed	Remaining
0	24	2423
1	46	2284
2	69	2238
3	91	2204
4	114	2168
5	138	2162
6	161	2147
7	184	2116
8	208	2111
9	234	2111
10	258	2089
11	281	2065
12	304	2037
13	327	2012
14	351	1991
15	374	1968
16	397	1942
17	421	1918
18	447	1909
19	471	1885
20	494	1858
21	517	1834
22	540	1808
23	563	1784
24	588	1764
25	612	1742
26	635	1719
27	660	1698
28	684	1675
29	708	1654
30	733	1631
31	756	1607
32	784	1593
33	822	1595
34	856	1591
35	890	1582
36	914	1556
37	938	1531
38	963	1507
39	989	1483
40	1013	1457
41	1036	1431
42	1060	1405
43	1083	1379
44	1106	1352
45	1130	1326
46	1153	1300
47	1179	1277
48	1204	1253
49	1230	1230
50	1254	1205
51	1279	1180
52	1302	1154
53	1326	1130
54	1349	1104
55	1374	1079
56	1398	1054
57	1422	1029
58	1445	1004
59	1469	979
60	1492	954
61	1517	929
62	1541	905
63	1565	880
64	1591	857
65	1615	832
66	1639	807
67	1667	784
68	1691	760
69	1716	735
70	1739	710
71	1763	685
72	1787	661
73	1811	636
74	1835	611
75	1858	587
76	1883	562
77	1906	537
78	1929	512
79	1953	488
80	1978	464
81	2003	439
82	2027	415
83	2052	390
84	2076	366
85	2100	342
86	2123	317
87	2147	292
88	2171	268
89	2201	244
90	2225	220
91	2249	195
92	2273	171
93	2298	146
94	2321	122
95	2343	97
96	2366	73
97	2389	48
98	2415	24
99	2441	0
